
STUDENT INFORMATION
Field,Value
Student ID,STU007
Name,"Olivia Taylor"
Email,"olivia.taylor@college.org"
Phone,"+1-555-2002"
Student Type,Honors
Enrollment Date,2024-09-01
Status,Active
Passing Grade,60.0
Overall Average,69.13

GRADE DETAILS
GradeID,StudentID,Subject,SubjectType,Grade,LetterGrade,Date,Timestamp
GRD042,STU007,"Mathematics",Core,62.00,D,15-12-2025,2025-12-15 16:30:09
GRD043,STU007,"History",Core,73.00,C,15-12-2025,2025-12-15 16:30:09
GRD044,STU007,"English",Core,63.00,D,15-12-2025,2025-12-15 16:30:09
GRD045,STU007,"History",Core,78.00,C+,15-12-2025,2025-12-15 16:30:09
GRD046,STU007,"Science",Core,81.00,B-,15-12-2025,2025-12-15 16:30:09
GRD047,STU007,"Art",Elective,55.00,F,15-12-2025,2025-12-15 16:30:09
GRD048,STU007,"Economics",Elective,50.00,F,15-12-2025,2025-12-15 16:30:09
GRD049,STU007,"Physical Education",Elective,91.00,A-,15-12-2025,2025-12-15 16:30:09

STATISTICS
Metric,Value
Total Grades,8
Overall Average,69.13
Core Subjects Average,71.40
Elective Subjects Average,65.33

GRADE DISTRIBUTION
Grade Range,Count,Percentage
B (80-89),1,12.50%
C (70-79),2,25.00%
D (60-69),2,25.00%
A (90-100),1,12.50%
F (0-59),2,25.00%

PERFORMANCE INDICATORS
Indicator,Value,Status
Passing Status,69.13,PASS
Honors Eligibility,69.13,NOT ELIGIBLE
